epoch,loss,lr,val_loss
0,14.035150527954102,0.001,11.406065940856934
1,9.38582706451416,0.001,6.302221775054932
2,5.435322284698486,0.001,4.459245204925537
3,4.217753887176514,0.001,3.6069700717926025
4,3.675576686859131,0.001,3.3700673580169678
5,3.3145482540130615,0.001,3.1633691787719727
6,3.0493736267089844,0.001,2.889284133911133
7,2.843250274658203,0.001,2.9699857234954834
8,2.6569199562072754,0.001,2.7206578254699707
9,2.477167844772339,0.001,2.7306790351867676
10,2.341191530227661,0.001,2.63126802444458
11,2.2075514793395996,0.001,2.614229202270508
12,2.076580047607422,0.001,2.728663921356201
13,1.9722117185592651,0.001,2.530892848968506
14,1.8671019077301025,0.001,2.596616268157959
15,1.7707487344741821,0.001,2.6285829544067383
16,1.6842130422592163,0.001,2.466562032699585
17,1.6007976531982422,0.001,2.4992733001708984
18,1.5418905019760132,0.001,2.4970738887786865
19,1.4462002515792847,0.001,2.6133172512054443
20,1.3965333700180054,0.001,2.518760919570923
21,1.103502631187439,0.0005,2.421119213104248
22,1.0036407709121704,0.0005,2.513376474380493
23,0.9245601892471313,0.0005,2.574479103088379
24,0.8933466076850891,0.0005,2.574479818344116
25,0.8341882824897766,0.0005,2.6441292762756348
26,0.7206536531448364,0.00025,2.572021722793579
27,0.6641554832458496,0.00025,2.620192289352417
28,0.635960042476654,0.00025,2.6366658210754395
29,0.6019115447998047,0.00025,2.7260665893554688
30,0.5420406460762024,0.000125,2.6812357902526855
31,0.5280442237854004,0.000125,2.7092907428741455
